City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,sisimiut,66.9395,-53.6735,16.74,73,2,2.62,GL,1678555273
84,sao joao da barra,-21.6403,-41.0511,89.69,73,26,14.05,BR,1678555276
85,talnakh,69.4865,88.3972,13.21,82,100,9.04,RU,1678555277
86,nikolskoye,59.7035,30.7861,22.91,95,100,11.81,RU,1678555278
87,alofi,-19.0595,-169.9187,76.89,94,100,6.91,NU,1678555279
88,kapaa,22.0752,-159.319,62.58,88,0,8.05,US,1678555245
89,lata,40.1629,-8.3327,65.07,70,100,7.45,PT,1678555282
90,gurupi,-11.7292,-49.0686,86.32,60,82,6.29,BR,1678555283
91,gobabis,-22.45,18.9667,81.25,31,87,17.92,NA,1678555285
92,aklavik,68.2191,-135.0107,-13.0,77,40,3.44,CA,1678555286
93,hovd,48.0056,91.6419,28.04,31,100,0.87,MN,1678555288
94,shizunai,42.3339,142.3669,35.73,91,64,5.99,JP,1678555289
95,iqaluit,63.7506,-68.5145,-4.27,84,20,2.3,CA,1678555290
96,denpasar,-8.65,115.2167,78.46,94,20,1.14,ID,1678555273
97,ewa beach,21.3156,-158.0072,67.01,83,0,4.61,US,1678555102
98,chokurdakh,70.6333,147.9167,-22.47,93,22,6.87,RU,1678555294
99,lop buri,14.7981,100.654,81.16,72,26,9.08,TH,1678555250
100,port hardy,50.6996,-127.4199,42.8,70,75,12.66,CA,1678555217
101,ullapool,57.8987,-5.1604,34.36,74,100,6.31,GB,1678555296
102,new norfolk,-42.7826,147.0587,52.92,64,55,1.99,AU,1678555297
103,georgetown,5.4112,100.3354,80.53,89,20,3.44,MY,1678555172
104,saint-philippe,-21.3585,55.7679,78.39,84,50,12.97,RE,1678555299
105,khasan,42.4308,130.6434,34.65,99,100,6.02,RU,1678555300
106,peterhead,57.5058,-1.7981,36.0,55,95,6.04,GB,1678555301
107,tazovskiy,67.4667,78.7,21.16,95,100,16.26,RU,1678555302
108,airai,-8.9266,125.4092,58.68,93,100,0.81,TL,1678555303
109,live oak,36.9836,-121.9805,60.71,88,90,1.01,US,1678555304
110,pudozh,61.8099,36.5345,19.98,82,100,10.49,RU,1678555305
111,vestmanna,62.1564,-7.1664,20.32,79,100,10.36,FO,1678555306
112,hualmay,-11.0964,-77.6139,79.52,69,92,7.92,PE,1678555308
113,lazeshchyna,48.2685,24.4201,32.22,93,72,8.3,UA,1678555309
114,mar del plata,-38.0023,-57.5575,77.02,87,40,10.36,AR,1678555310
115,port alfred,-33.5906,26.891,66.18,86,12,8.01,ZA,1678555311
116,plouzane,48.3833,-4.6167,53.92,97,100,18.41,FR,1678555312
117,luba,3.4568,8.5547,82.29,78,100,7.0,GQ,1678555313
118,castro,-24.7911,-50.0119,68.14,92,100,5.06,BR,1678555314
119,chazuta,-6.5742,-76.1367,86.85,82,100,1.16,PE,1678555315
120,pozo colorado,-23.4923,-58.7972,95.56,40,2,3.94,PY,1678555316
121,nogliki,51.8333,143.1667,22.5,90,100,9.04,RU,1678555318
122,tyup,42.7276,78.3648,45.84,53,65,0.67,KG,1678555319
123,beloha,-25.1667,45.05,74.37,75,4,15.61,MG,1678555320
124,wetter,50.9,8.7167,39.67,66,95,4.59,DE,1678555321
125,khatanga,71.9667,102.5,-30.15,100,30,4.94,RU,1678555323
126,el alto,-4.2714,-81.2147,83.86,74,100,11.16,PE,1678555324
127,derzhavinsk,51.1,66.3167,33.31,99,100,8.72,KZ,1678555325
128,kjollefjord,70.9457,27.3465,23.05,62,24,18.41,NO,1678555327
129,san cristobal,7.7669,-72.225,66.38,76,100,3.18,VE,1678555328
130,codrington,-38.2667,141.9667,54.1,96,22,4.92,AU,1678555329
131,ilulissat,69.2167,-51.1,11.68,74,11,5.06,GL,1678555330
132,kruisfontein,-34.0033,24.7314,65.88,71,64,18.19,ZA,1678555331
133,port lincoln,-34.7333,135.8667,61.3,84,3,11.74,AU,1678555332
134,ondo,7.1,4.8333,82.33,64,47,5.99,NG,1678555334
135,dingle,10.9995,122.6711,74.82,83,25,6.76,PH,1678555335
136,marsa matruh,31.3525,27.2453,71.8,43,20,4.61,EG,1678555336
137,bengkulu,-3.8004,102.2655,75.49,90,100,3.47,ID,1678555337
138,yaan,7.3833,8.5667,98.87,21,76,5.99,NG,1678555340
139,riyadh,24.6877,46.7219,69.94,30,6,14.34,SA,1678555177
140,yatou,37.15,122.3833,40.62,52,25,10.56,CN,1678555342
141,sobolevo,54.4299,31.8996,35.04,100,100,13.67,RU,1678555344
142,metro,-5.1131,105.3067,75.45,91,100,3.42,ID,1678555345
143,atbasar,51.8,68.3333,32.94,97,100,8.81,KZ,1678555346
144,malinovskiy,61.1953,62.8397,15.33,85,29,10.92,RU,1678555349
145,torbay,47.6666,-52.7314,35.28,96,100,21.85,CA,1678555350
146,kyren,51.6828,102.1408,12.9,79,4,2.84,RU,1678555351
147,hambantota,6.1241,81.1185,79.61,77,100,17.83,LK,1678555352
148,palmer,42.1584,-72.3287,41.52,71,100,14.97,US,1678555322
149,dunkirk,51.05,2.3667,46.0,62,99,6.87,FR,1678555354
150,pangnirtung,66.1451,-65.7125,-2.2,92,0,0.0,CA,1678555355
151,bonavista,48.6499,-53.1147,33.15,93,100,25.19,CA,1678555356
152,pisco,-13.7,-76.2167,80.02,78,40,9.22,PE,1678555358
153,thompson,55.7435,-97.8558,12.36,57,20,5.75,CA,1678555359
154,vaini,-21.2,-175.2,77.16,78,75,3.44,TO,1678555360
155,cabo rojo,18.0866,-67.1457,86.43,65,31,6.06,PR,1678555361
156,winnemucca,40.973,-117.7357,37.45,52,0,0.0,US,1678555362
157,porto novo,6.4965,2.6036,84.02,70,25,7.52,BJ,1678555363
158,lagoa,39.05,-27.9833,60.71,96,100,20.07,PT,1678555364
159,karratha,-20.7377,116.8463,87.49,50,0,9.75,AU,1678555365
160,port elizabeth,-33.918,25.5701,68.29,81,40,19.57,ZA,1678555294
161,kasempa,-13.4584,25.8338,69.98,72,79,2.86,ZM,1678555367
162,doha,25.2867,51.5333,73.38,68,0,14.97,QA,1678555368
163,bulawayo,-20.15,28.5833,73.6,45,21,10.04,ZW,1678555369
164,port hedland,-20.3167,118.5667,84.25,79,0,10.36,AU,1678555370
165,nkoyaphiri,-24.6322,25.8314,80.04,57,0,4.61,BW,1678555371
166,dimitrovgrad,54.2139,49.6184,25.03,92,87,5.3,RU,1678555372
167,uitenhage,-33.7576,25.3971,67.59,76,45,19.51,ZA,1678555372
168,saldanha,-33.0117,17.9442,64.45,70,2,16.24,ZA,1678555373
169,sorland,67.667,12.6934,31.86,40,83,14.83,NO,1678555375
